#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
1215000,-2689111.302428318,605711.1319512726,-2083400.1704770457,300.5555378328116,2240.4245425300123,17.1
1220000,-2684189.7229720894,604625.8962682104,-2079563.826703879,300.017040887333,2240.712503552502,17.1
1225000,-2685322.7796738613,603393.0434375211,-2081929.7362363404,299.40529590519463,2240.902160559256,17.1
1230000,-2685833.904857116,601832.1395816127,-2084001.765275503,298.6307710976241,2240.9637914178525,17.1
1235000,-2685452.315609021,605144.8658531059,-2080307.4497559152,300.274555029767,2243.1601192865205,17.1
1240000,-2682652.505173713,605401.2388262863,-2077251.2663474267,300.40176800766255,2243.6860784080463,17.1
1245000,-2686644.1554541364,604409.9389813484,-2082234.216472788,299.9098822846958,2241.596363929397,17.1
1250000,-2689419.2541149054,605595.1090557858,-2083824.1450591194,300.4979669513889,2242.5652980171926,17.1
1255000,-2687602.6765360534,601629.496235946,-2085973.1803001075,298.53021890940715,2242.1938298504065,17.1
1260000,-2684623.098463353,604443.5707045038,-2080179.5277588489,299.92657043868206,2244.8750325933697,17.1
1265000,-2683035.007612027,604450.3357855557,-2078584.6718264716,299.92992729059836,2244.094557198631,17.1
1270000,-2683270.670584537,601989.8629481598,-2081280.8076363774,298.7090338680452,2244.6014037401087,17.1
1275000,-2684879.7413241845,604285.8699972103,-2080593.8713269741,299.8483189118453,2239.923018787156,17.1
1280000,-2687373.6178377774,605553.7728790607,-2081819.8449587165,300.47745582624657,2239.6287812066107,17.1
1285000,-2686193.701978501,602978.3167929347,-2083215.3851855663,299.19950739786486,2241.3944395085364,17.1
1290000,-2685813.1104872487,604444.263312639,-2081368.8471746098,299.9269141127531,2238.549563514736,17.1
1295000,-2685963.2359725256,606246.9884129942,-2079716.2475595314,300.82143129020125,2238.765845950255,17.1
1300000,-2686072.4171470758,605533.1055853054,-2080539.3115617703,300.46720065796165,2241.0020056731246,17.1
1305000,-2685084.6623973716,604191.7042614615,-2080892.95813591,299.80159361349683,2239.251201846955,17.1
1310000,-2688579.433548471,603057.664247446,-2085521.769301025,299.2388798241062,2240.627546349935,17.1
1315000,-2685523.7950166576,606328.8873279529,-2079194.9076887048,300.8620697581687,2240.8375626672405,17.1
